Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalRatio
27,5.0,3.4,1.6,0.4,Iris-setosa,1.4705882352941178
29,5.2,3.4,1.4,0.2,Iris-setosa,1.5294117647058825
21,5.4,3.4,1.7,0.2,Iris-setosa,1.5882352941176472
122,5.6,2.8,4.9,2.0,Iris-virginica,2.0
112,6.4,2.7,5.3,1.9,Iris-virginica,2.3703703703703702
105,6.5,3.0,5.8,2.2,Iris-virginica,2.1666666666666665
62,5.9,3.0,4.2,1.5,Iris-versicolor,1.9666666666666668
56,5.7,2.8,4.5,1.3,Iris-versicolor,2.035714285714286
93,5.8,2.6,4.0,1.2,Iris-versicolor,2.230769230769231
147,6.3,2.5,5.0,1.9,Iris-virginica,2.52
76,6.6,3.0,4.4,1.4,Iris-versicolor,2.1999999999999997
11,5.4,3.7,1.5,0.2,Iris-setosa,1.4594594594594594
66,6.7,3.1,4.4,1.4,Iris-versicolor,2.161290322580645
39,4.4,3.0,1.3,0.2,Iris-setosa,1.4666666666666668
51,7.0,3.2,4.7,1.4,Iris-versicolor,2.1875
35,4.9,3.1,1.5,0.1,Iris-setosa,1.5806451612903227
104,6.3,2.9,5.6,1.8,Iris-virginica,2.1724137931034484
137,6.3,3.4,5.6,2.4,Iris-virginica,1.8529411764705883
123,7.7,2.8,6.7,2.0,Iris-virginica,2.7500000000000004
75,6.4,2.9,4.3,1.3,Iris-versicolor,2.206896551724138
55,6.5,2.8,4.6,1.5,Iris-versicolor,2.3214285714285716
26,5.0,3.0,1.6,0.2,Iris-setosa,1.6666666666666667
100,5.7,2.8,4.1,1.3,Iris-versicolor,2.035714285714286
50,5.0,3.3,1.4,0.2,Iris-setosa,1.5151515151515151
33,5.2,4.1,1.5,0.1,Iris-setosa,1.2682926829268295
116,6.4,3.2,5.3,2.3,Iris-virginica,2.0
87,6.7,3.1,4.7,1.5,Iris-versicolor,2.161290322580645
111,6.5,3.2,5.1,2.0,Iris-virginica,2.03125
58,4.9,2.4,3.3,1.0,Iris-versicolor,2.041666666666667
41,5.0,3.5,1.3,0.3,Iris-setosa,1.4285714285714286
